"deviceName","softwareName","softwareVendor","softwareVersion"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","chrony_for_linux","ubuntu","4.5-1ubuntu4.2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","cifs-utils_for_linux","ubuntu","2:7.0-2ubuntu0.2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","cloud-init_for_linux","ubuntu","25.2-0ubuntu1~24.04.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","coreutils_for_linux","ubuntu","9.4-3ubuntu6.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","cpio_for_linux","ubuntu","2.15+dfsg-1ubuntu2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","cron_for_linux","ubuntu","3.0pl1-184ubuntu2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","cryptsetup_for_linux","ubuntu","2:2.7.0-1ubuntu4.2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","cryptsetup-bin_for_linux","ubuntu","2:2.7.0-1ubuntu4.2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","cryptsetup-initramfs_for_linux","ubuntu","2:2.7.0-1ubuntu4.2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","curl_for_linux","ubuntu","8.5.0-2ubuntu10.6"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","dbus_for_linux","ubuntu","1.14.10-4ubuntu4.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","dbus-user-session_for_linux","ubuntu","1.14.10-4ubuntu4.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","dhcpcd-base_for_linux","ubuntu","1:10.0.6-1ubuntu3.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","dirmngr_for_linux","ubuntu","2.4.4-2ubuntu17.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","docker_for_linux","docker","29.0.2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","dosfstools_for_linux","ubuntu","4.2-1.1build1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","dpkg_for_linux","ubuntu","1.22.6ubuntu6.5"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","dpkg-dev_for_linux","ubuntu","1.22.6ubuntu6.5"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","e2fsprogs_for_linux","ubuntu","1.47.0-2.4~exp1ubuntu4.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","e2fsprogs-l10n_for_linux","ubuntu","1.47.0-2.4~exp1ubuntu4.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","eject_for_linux","ubuntu","2.39.3-9ubuntu6.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","fdisk_for_linux","ubuntu","2.39.3-9ubuntu6.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","file_for_linux","ubuntu","1:5.45-3build1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","fontconfig_for_linux","ubuntu","2.15.0-1.1ubuntu2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","fontconfig-config_for_linux","ubuntu","2.15.0-1.1ubuntu2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","fwupd_for_linux","ubuntu","1.9.31-0ubuntu1~24.04.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","gawk_for_linux","ubuntu","1:5.2.1-2build3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","gdisk_for_linux","ubuntu","1.0.10-1build1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","gettext-base_for_linux","ubuntu","0.21-14ubuntu2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","ghostscript_for_linux","ubuntu","10.02.1~dfsg1-0ubuntu7.8"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","gir1.2-glib-2.0_for_linux","ubuntu","2.80.0-6ubuntu3.4"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","gir1.2-packagekitglib-1.0_for_linux","ubuntu","1.2.8-2ubuntu1.4"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","git_for_linux","ubuntu","1:2.43.0-1ubuntu7.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","git-man_for_linux","ubuntu","1:2.43.0-1ubuntu7.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","gnupg_for_linux","ubuntu","2.4.4-2ubuntu17.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","gnupg-l10n_for_linux","ubuntu","2.4.4-2ubuntu17.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","gnupg-utils_for_linux","ubuntu","2.4.4-2ubuntu17.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","gpg_for_linux","ubuntu","2.4.4-2ubuntu17.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","gpg-agent_for_linux","ubuntu","2.4.4-2ubuntu17.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","gpg-wks-client_for_linux","ubuntu","2.4.4-2ubuntu17.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","gpgconf_for_linux","ubuntu","2.4.4-2ubuntu17.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","gpgsm_for_linux","ubuntu","2.4.4-2ubuntu17.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","gpgv_for_linux","ubuntu","2.4.4-2ubuntu17.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","grub-common_for_linux","ubuntu","2.12-1ubuntu7.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","grub-efi-amd64-bin_for_linux","ubuntu","2.12-1ubuntu7.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","grub-efi-amd64-signed_for_linux","ubuntu","1.202.5+2.12-1ubuntu7.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","grub-pc_for_linux","ubuntu","2.12-1ubuntu7.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","grub-pc-bin_for_linux","ubuntu","2.12-1ubuntu7.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","grub2-common_for_linux","ubuntu","2.12-1ubuntu7.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","gzip_for_linux","ubuntu","1.12-1ubuntu3.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","imagemagick_for_linux","ubuntu","8:6.9.12.98+dfsg1-5.2build2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","imagemagick-6-common_for_linux","ubuntu","8:6.9.12.98+dfsg1-5.2build2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","imagemagick-6.q16_for_linux","ubuntu","8:6.9.12.98+dfsg1-5.2build2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","inetutils-telnet_for_linux","ubuntu","2:2.5-3ubuntu4"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","iproute2_for_linux","ubuntu","6.1.0-1ubuntu6.2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","iputils-ping_for_linux","ubuntu","3:20240117-1ubuntu0.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","iputils-tracepath_for_linux","ubuntu","3:20240117-1ubuntu0.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","jq_for_linux","ubuntu","1.7.1-3ubuntu0.24.04.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","keyboxd_for_linux","ubuntu","2.4.4-2ubuntu17.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","klibc-utils_for_linux","ubuntu","2.0.13-4ubuntu0.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","kpartx_for_linux","ubuntu","0.9.4-5ubuntu8"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","krb5-locales_for_linux","ubuntu","1.20.1-6ubuntu2.6"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","less_for_linux","ubuntu","590-2ubuntu2.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libabsl20220623t64_for_linux","ubuntu","20220623.1-3.1ubuntu3.2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libaom3_for_linux","ubuntu","3.8.2-2ubuntu0.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libapparmor1_for_linux","ubuntu","4.0.1really4.0.1-0ubuntu0.24.04.4"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libarchive13t64_for_linux","ubuntu","3.7.2-2ubuntu0.5"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libasan8_for_linux","ubuntu","14.2.0-4ubuntu2~24.04"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libatomic1_for_linux","ubuntu","14.2.0-4ubuntu2~24.04"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libavahi-client3_for_linux","ubuntu","0.8-13ubuntu6"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libavahi-common-data_for_linux","ubuntu","0.8-13ubuntu6"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libavahi-common3_for_linux","ubuntu","0.8-13ubuntu6"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libbinutils_for_linux","ubuntu","2.42-4ubuntu2.8"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libblkid1_for_linux","ubuntu","2.39.3-9ubuntu6.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libblockdev-crypto3_for_linux","ubuntu","3.1.1-1ubuntu0.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libblockdev-fs3_for_linux","ubuntu","3.1.1-1ubuntu0.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libblockdev-loop3_for_linux","ubuntu","3.1.1-1ubuntu0.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libblockdev-mdraid3_for_linux","ubuntu","3.1.1-1ubuntu0.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libblockdev-nvme3_for_linux","ubuntu","3.1.1-1ubuntu0.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libblockdev-part3_for_linux","ubuntu","3.1.1-1ubuntu0.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libblockdev-swap3_for_linux","ubuntu","3.1.1-1ubuntu0.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libblockdev-utils3_for_linux","ubuntu","3.1.1-1ubuntu0.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libblockdev3_for_linux","ubuntu","3.1.1-1ubuntu0.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libbrotli1_for_linux","ubuntu","1.1.0-2build2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libbsd0_for_linux","ubuntu","0.12.1-1build1.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libbz2-1.0_for_linux","ubuntu","1.0.8-5.1build0.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libc-bin_for_linux","ubuntu","2.39-0ubuntu8.6"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libc-dev-bin_for_linux","ubuntu","2.39-0ubuntu8.6"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libc-devtools_for_linux","ubuntu","2.39-0ubuntu8.6"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libc6_for_linux","ubuntu","2.39-0ubuntu8.6"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libc6-dev_for_linux","ubuntu","2.39-0ubuntu8.6"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libcaca0_for_linux","ubuntu","0.99.beta20-4build2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libcairo-gobject2_for_linux","ubuntu","1.18.0-3build1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libcairo2_for_linux","ubuntu","1.18.0-3build1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libcap2_for_linux","ubuntu","1:2.66-5ubuntu2.2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libcap2-bin_for_linux","ubuntu","1:2.66-5ubuntu2.2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libcc1-0_for_linux","ubuntu","14.2.0-4ubuntu2~24.04"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libcom-err2_for_linux","ubuntu","1.47.0-2.4~exp1ubuntu4.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libcryptsetup12_for_linux","ubuntu","2:2.7.0-1ubuntu4.2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libctf-nobfd0_for_linux","ubuntu","2.42-4ubuntu2.8"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libctf0_for_linux","ubuntu","2.42-4ubuntu2.8"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libcups2t64_for_linux","ubuntu","2.4.7-1.2ubuntu7.9"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libcurl3t64-gnutls_for_linux","ubuntu","8.5.0-2ubuntu10.6"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libcurl4t64_for_linux","ubuntu","8.5.0-2ubuntu10.6"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libdbus-1-3_for_linux","ubuntu","1.14.10-4ubuntu4.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libde265-0_for_linux","ubuntu","1.0.15-1build3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libdjvulibre-text_for_linux","ubuntu","3.5.28-2ubuntu0.24.04.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libdjvulibre21_for_linux","ubuntu","3.5.28-2ubuntu0.24.04.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libdpkg-perl_for_linux","ubuntu","1.22.6ubuntu6.5"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libdw1t64_for_linux","ubuntu","0.190-1.1ubuntu0.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libelf1t64_for_linux","ubuntu","0.190-1.1ubuntu0.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libexpat1_for_linux","ubuntu","2.6.1-2ubuntu0.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libexpat1-dev_for_linux","ubuntu","2.6.1-2ubuntu0.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libfdisk1_for_linux","ubuntu","2.39.3-9ubuntu6.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libfontconfig1_for_linux","ubuntu","2.15.0-1.1ubuntu2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libfreetype6_for_linux","ubuntu","2.13.2+dfsg-1build3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libfribidi0_for_linux","ubuntu","1.0.13-3build1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libfwupd2_for_linux","ubuntu","1.9.31-0ubuntu1~24.04.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libgcc-s1_for_linux","ubuntu","14.2.0-4ubuntu2~24.04"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libgcrypt20_for_linux","ubuntu","1.10.3-2build1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libgd3_for_linux","ubuntu","2.3.3-9ubuntu5"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libgdk-pixbuf-2.0-0_for_linux","ubuntu","2.42.10+dfsg-3ubuntu3.2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libgdk-pixbuf2.0-bin_for_linux","ubuntu","2.42.10+dfsg-3ubuntu3.2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libgdk-pixbuf2.0-common_for_linux","ubuntu","2.42.10+dfsg-3ubuntu3.2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libgif7_for_linux","ubuntu","5.2.2-1ubuntu1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libglib2.0-0t64_for_linux","ubuntu","2.80.0-6ubuntu3.4"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libglib2.0-bin_for_linux","ubuntu","2.80.0-6ubuntu3.4"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libglib2.0-data_for_linux","ubuntu","2.80.0-6ubuntu3.4"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libgmp10_for_linux","ubuntu","2:6.3.0+dfsg-2ubuntu6.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libgnutls30t64_for_linux","ubuntu","3.8.3-1.1ubuntu3.4"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libgomp1_for_linux","ubuntu","14.2.0-4ubuntu2~24.04"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libgprofng0_for_linux","ubuntu","2.42-4ubuntu2.8"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libgraphite2-3_for_linux","ubuntu","1.3.14-2build1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libgs-common_for_linux","ubuntu","10.02.1~dfsg1-0ubuntu7.8"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libgs10_for_linux","ubuntu","10.02.1~dfsg1-0ubuntu7.8"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libgs10-common_for_linux","ubuntu","10.02.1~dfsg1-0ubuntu7.8"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libgssapi-krb5-2_for_linux","ubuntu","1.20.1-6ubuntu2.6"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libgstreamer1.0-0_for_linux","ubuntu","1.24.2-1ubuntu0.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libgudev-1.0-0_for_linux","ubuntu","1:238-5ubuntu1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libharfbuzz0b_for_linux","ubuntu","8.3.0-2build2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libheif-plugin-aomdec_for_linux","ubuntu","1.17.6-1ubuntu4.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libheif-plugin-aomenc_for_linux","ubuntu","1.17.6-1ubuntu4.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","libheif-plugin-libde265_for_linux","ubuntu","1.17.6-1ubuntu4.1"
